Sextant,CANChannel,Row,Column,Type,DeviceID,PatchPanel
S1,CAN1,R+3,C6,Robot,P0492,10A
S1,CAN1,R+3,C5,Robot,P0694,10B
S1,CAN1,R+4,C5,Robot,P0534,10C
S1,CAN1,R+5,C5,Robot,P0578,10D
S1,CAN1,R+4,C6,FIF,FTO-201783,19EM
S1,CAN1,R+3,C7,Robot,P0478,10E
S1,CAN1,R+2,C8,Robot,P0400,9A
S1,CAN1,R+1,C9,Robot,P0451,9B
S1,CAN1,R+1,C8,Robot,P0401,9C
S1,CAN1,R+2,C7,Robot,P0952,9D
S1,CAN1,R+2,C6,Robot,P0925,9E
S1,CAN1,R+2,C5,Robot,P0788,11A
S1,CAN1,R+2,C4,Robot,P0800,11B
S1,CAN1,R+3,C4,FIF,FTO-201710,19BM
S1,CAN1,R+4,C4,Robot,P0526,11C
S1,CAN1,R+5,C4,Robot,P0523,11D
S1,CAN1,R+6,C4,Robot,P0529,11E
S1,CAN1,R+7,C4,FIF,FTO-201718,19CM
S1,CAN1,R+6,C5,Robot,P0570,8A
S1,CAN1,R+5,C6,Robot,P0407,8B
S1,CAN1,R+4,C7,Robot,P0440,8C
S1,CAN1,R+3,C8,Robot,P0637,8D
S1,CAN1,R+2,C9,Robot,P0630,8E
S1,CAN1,R+1,C10,Robot,P0667,12A
S1,CAN2,R+1,C11,Robot,P0640,12B
S1,CAN2,R+2,C10,Robot,P0638,12C
S1,CAN2,R+3,C9,Robot,P0614,12D
S1,CAN2,R+4,C8,Robot,P0725,12E
S1,CAN2,R+5,C7,Robot,P0569,7A
S1,CAN2,R+6,C6,Robot,P0452,7B
S1,CAN2,R+7,C5,Robot,P0466,7C
S1,CAN2,R+8,C4,Robot,P0710,7D
S1,CAN2,R+9,C3,Robot,P0664,7E
S1,CAN2,R+8,C3,Robot,P0499,13A
S1,CAN2,R+7,C3,Robot,P0504,13B
S1,CAN2,R+6,C3,Robot,P0588,13C
S1,CAN2,R+5,C3,Robot,P0576,13D
S1,CAN2,R+4,C3,Robot,P0596,13E
S1,CAN2,R+3,C3,Robot,P0617,6A
S1,CAN2,R+2,C3,Robot,P0920,6B
S1,CAN2,R+1,C3,Robot,P0917,6C
S1,CAN2,R+1,C4,Robot,P0693,6D
S1,CAN2,R+1,C5,Robot,P0604,6E
S1,CAN2,R+1,C6,Robot,P0814,14A
S1,CAN2,R+1,C7,Robot,P0813,14B
S1,CAN3,R+1,C12,Robot,P0646,14C
S1,CAN3,R+2,C11,Robot,P0536,14D
S1,CAN3,R+3,C10,Robot,P0911,14E
S1,CAN3,R+4,C9,Robot,P0574,5A
S1,CAN3,R+5,C8,Robot,P0659,5B
S1,CAN3,R+6,C7,Robot,P0662,5C
S1,CAN3,R+7,C6,Robot,P0822,5D
S1,CAN3,R+8,C5,Robot,P0909,5E
S1,CAN3,R+9,C4,Robot,P0616,15A
S1,CAN3,R+10,C3,Robot,P0625,15B
S1,CAN3,R+11,C2,Robot,P0754,15C
S1,CAN3,R+10,C2,Robot,P0841,15D
S1,CAN3,R+9,C2,Robot,P0414,15E
S1,CAN3,R+8,C2,Robot,P0753,4A
S1,CAN3,R+7,C2,Robot,P0874,4B
S1,CAN3,R+6,C2,FIF,FTO-201784,19DM
S1,CAN3,R+5,C2,Robot,P0606,4C
S1,CAN3,R+4,C2,Robot,P0692,4D
S1,CAN3,R+3,C2,Robot,P0696,4E
S1,CAN3,R+2,C2,Robot,P0558,16A
S1,CAN3,R+1,C2,Robot,P0535,16B
S1,CAN3,R+1,C1,Robot,P0652,18D
S1,CAN4,R+1,C13,Robot,P0966,16C
S1,CAN4,R+2,C12,FIF,FTO-201712,19AM
S1,CAN4,R+3,C11,Robot,P0785,16D
S1,CAN4,R+4,C10,Robot,P0755,16E
S1,CAN4,R+5,C9,Robot,P0415,3A
S1,CAN4,R+6,C8,FIF,FTO-201780,1AM
S1,CAN4,R+7,C7,Robot,P0447,3B
S1,CAN4,R+8,C6,Robot,P0686,3C
S1,CAN4,R+9,C5,Robot,P0687,3D
S1,CAN4,R+10,C4,FIF,FTO-201750,1BM
S1,CAN4,R+11,C3,Robot,P0851,3E
S1,CAN4,R+12,C2,Robot,P0756,17A
S1,CAN4,R+13,C1,Robot,P0507,17B
S1,CAN4,R+12,C1,Robot,P0513,17C
S1,CAN4,R+11,C1,Robot,P0520,17D
S1,CAN4,R+10,C1,Robot,P0812,17E
S1,CAN4,R+9,C1,Robot,P0584,2A
S1,CAN4,R+8,C1,Robot,P0595,2B
S1,CAN4,R+7,C1,Robot,P0539,2C
S1,CAN4,R+6,C1,Robot,P0732,2D
S1,CAN4,R+5,C1,Robot,P0831,2E
S1,CAN4,R+4,C1,Robot,P0786,18A
S1,CAN4,R+3,C1,Robot,P1038,18B
S1,CAN4,R+2,C1,Robot,P1013,18C
